cell_id,workload,treatment,threads,load_fraction,offered_rate_requests_s,target_duration_s,successful_requests,success_rate,p95_ttft_ms,p95_itl_ms,p99_e2e_ms,total_energy_j,slo_pass,slo_good_output_tokens_per_joule,valid,execution_valid,sample_sufficient
policy-medium-load-0p25-threads-4-unpinned,medium,threads-4-unpinned,4,0.25,0.011111111111111112,1080.0,12,0.9230769230769231,10163.690328598022,96.19158271729476,22357.57875442505,9962.4,False,0.0,True,True,True
policy-medium-load-0p25-threads-4-fast-cores,medium,threads-4-fast-cores,4,0.25,0.011111111111111112,1080.0,12,1.0,12023.162603378296,101.00524387662372,24750.464916229248,8837.3,False,0.0,True,True,True
