run_id,label,valid,max_running_requests,chunked_prefill_size,radix_cache,request_count,success_count,throughput_requests_s,throughput_output_tokens_s,energy_j,joules_per_request,joules_per_1000_output_tokens,p95_ttft_ms,p95_tpot_ms,p95_e2e_ms,queue_median,queue_nonzero_fraction
001-s1-capacity-c32,s1-capacity-c32,True,128,8192,False,256,256,22.830153083853585,2922.259594733259,10122.570999622345,39.541292967274785,308.91635130683426,332.9238430596888,9.510227457040877,1496.4338564313948,0.0,0.08695652173913043
002-s1-capacity-c64,s1-capacity-c64,True,128,8192,False,256,256,34.32890167683295,4394.0994146346175,7837.0019998550415,30.613289061933756,239.16632079635747,776.7124865204096,13.33657031380168,2324.862278997898,0.0,0.06666666666666667
003-s1-capacity-c128,s1-capacity-c128,True,128,8192,False,256,256,48.64971485499715,6227.163501439635,6136.3910002708435,23.970277344807982,187.26779175631236,918.7705717049539,18.76781972521168,2758.6244377307594,0.0,0.2727272727272727
004-s1-capacity-c256,s1-capacity-c256,True,128,8192,False,512,512,49.837113158075084,6379.150484233611,12256.62599992752,23.93872265610844,187.02127075084718,3502.3888929747045,18.739898601825544,5325.899367313832,128.0,0.85
005-s1-capacity-c512,s1-capacity-c512,True,128,8192,False,1024,1024,49.96719004836791,6395.800326191093,24541.202999591827,23.966018554288894,187.23451995538198,8338.86568332091,18.168274733406587,10284.083063527942,384.0,0.9024390243902439
006-s1-knee-0.50,s1-knee-0.50,True,128,8192,False,1125,1125,24.445841807635933,3129.0677513773994,42519.82300043106,37.795398222605385,295.27654861410457,603.3651199191804,37.79074141066375,5089.9402137845755,0.0,0.053763440860215055
007-s1-knee-0.70,s1-knee-0.70,True,128,8192,False,1571,1571,34.0010498797204,4352.134384604211,48911.825999736786,31.13419859945053,243.23592655820727,789.1574930399656,31.41394018481566,4272.760609164834,0.0,0.4673913043478261
008-s1-knee-0.85,s1-knee-0.85,True,128,8192,False,1914,1914,40.970310431674406,5244.199735254324,53431.55499982834,27.916172936169456,218.09510106382388,1152.9723116196692,25.81616459766358,4027.479986101389,7.0,0.7204301075268817
009-s1-knee-0.95,s1-knee-0.95,True,128,8192,False,2158,2158,45.58408528860253,5834.762916941124,56550.65299987793,26.205121872047233,204.727514625369,1672.1060877665877,23.906380179389487,4233.120443765074,33.0,0.9052631578947369
010-s1-knee-1.05,s1-knee-1.05,False,128,8192,False,2374,2374,47.99589698342319,6143.474813878168,59835.950999736786,25.204697135525183,196.9116963712905,3574.3215415626764,23.20054423533321,5854.292510543019,84.0,0.9292929292929293
011-s1-knee-confirm-0.50-seed-2026082501,s1-knee-confirm-0.50-seed-2026082501,True,128,8192,False,2265,2265,24.8632585608251,3182.4970957856126,87214.05599975586,38.505101986647176,300.82110927068106,104.98620271682736,33.14057094316314,4326.399806514382,0.0,0.01098901098901099
012-s1-knee-confirm-0.50-seed-2026082502,s1-knee-confirm-0.50-seed-2026082502,True,128,8192,False,2223,2223,24.42317350075749,3126.1662080969586,85598.44000005722,38.50582096268881,300.8267262710063,216.22406505048295,36.06147602581837,4673.417963460088,0.0,0.06593406593406594
013-s1-knee-confirm-0.70-seed-2026082501,s1-knee-confirm-0.70-seed-2026082501,True,128,8192,False,3156,3156,34.44114911062431,4408.467086159912,97518.92199993134,30.899531685656317,241.40259129418996,659.8352487199008,31.79455923987186,4308.574102353305,1.0,0.5409836065573771
014-s1-knee-confirm-0.70-seed-2026082502,s1-knee-confirm-0.70-seed-2026082502,True,128,8192,False,3126,3126,34.21212314105816,4379.151762055444,97487.81099939346,31.186119961418253,243.64156219858012,642.0455565676093,31.229294678856302,4239.3321972340345,1.0,0.532967032967033
015-s1-knee-confirm-0.85-seed-2026082501,s1-knee-confirm-0.85-seed-2026082501,True,128,8192,False,3847,3847,42.063311658734584,5384.103892318027,105809.67199993134,27.504463737959796,214.8786229528109,1011.7417795583606,25.844693835091398,3904.0796700865026,8.0,0.7704918032786885
016-s1-knee-confirm-0.85-seed-2026082502,s1-knee-confirm-0.85-seed-2026082502,True,128,8192,False,3778,3778,41.37833751735242,5296.42720222111,105416.25099992752,27.90266040231009,217.9895343930476,831.9217438809571,25.88140770176968,3788.4500744752586,4.0,0.7197802197802198
017-s1-mrr-screen-mrr-32_chunk-8192_cache-off,s1-mrr-screen-mrr-32_chunk-8192_cache-off,False,32,8192,False,2036,1651,22.009941718054325,2817.2725399109536,71031.33499956131,43.023219260788196,336.1189004749078,35292.89305862039,11.151421023166087,36598.172401078045,571.0,0.9866666666666667
018-s1-mrr-screen-mrr-64_chunk-8192_cache-off,s1-mrr-screen-mrr-64_chunk-8192_cache-off,True,64,8192,False,2036,2036,35.537329678544374,4548.77819885368,63280.948999881744,31.08101620819339,242.82043912651088,10990.635237656534,14.297452641607034,12357.051199302077,221.0,0.956140350877193
019-s1-mrr-screen-mrr-128_chunk-8192_cache-off,s1-mrr-screen-mrr-128_chunk-8192_cache-off,True,128,8192,False,2036,2036,43.361568344875806,5550.280748144103,54503.453999996185,26.769869351668067,209.1396043099068,1478.8447208702564,24.998279673406692,4241.659091319889,13.0,0.776595744680851
020-s1-mrr-screen-mrr-256_chunk-8192_cache-off,s1-mrr-screen-mrr-256_chunk-8192_cache-off,True,256,8192,False,2036,2036,43.38407596362329,5553.161723343781,52670.04800033569,25.869375245744447,202.10449410737849,1400.5666747689247,50.25299512011212,6886.456418316811,0.0,0.4574468085106383
021-s2-capacity-c64,s2-capacity-c64,True,128,8192,False,64,64,7.035762007101721,900.5775369090203,11674.31800031662,182.41121875494719,1425.087646523025,7304.688444174825,66.1638547791036,9069.039114471525,26.0,0.8333333333333334
022-s2-capacity-c128,s2-capacity-c128,True,128,8192,False,128,128,7.438246902659232,952.0956035403817,22937.302999973297,179.19767968729138,1399.981872556964,14321.207921020687,126.4022235538605,17143.887056969106,51.0,0.8571428571428571
023-s2-capacity-c256,s2-capacity-c256,False,128,8192,False,256,256,6.072255590459376,777.2487155788001,47853.6920003891,186.92848437651992,1460.3787841915619,38401.74502925947,182.14113276275828,41963.57621392235,139.0,0.9285714285714286
024-s2-chunk-screen-mrr-128_chunk--1_cache-off,s2-chunk-screen-mrr-128_chunk--1_cache-off,True,128,-1,False,295,295,6.326069927938605,809.7369507761414,57453.40699958801,194.75731186301022,1521.5414989297674,831.0896800830961,58.42961005602531,7736.897653713824,0.0,0.1827956989247312
025-s2-chunk-screen-mrr-128_chunk-2048_cache-off,s2-chunk-screen-mrr-128_chunk-2048_cache-off,True,128,2048,False,295,295,5.595638031426788,716.2416680226289,65110.509999752045,220.71359321949845,1724.3249470273317,5555.318632908173,169.25070192664862,24707.659987732768,14.0,0.9428571428571428
